"id","ts_code","trade_date","open","high","low","close","pre_close","vol","amount"
2161929,"399300.SZ","2018-08-01",3530.0298,3543.6060,3446.7765,3447.3882,3517.6568,90348617.0000,107477214.8000
2161928,"399300.SZ","2018-08-02",3434.3516,3434.3516,3322.0960,3370.9579,3447.3882,101308727.0000,122401283.6000
2161927,"399300.SZ","2018-08-03",3366.6637,3381.3417,3315.2008,3315.2839,3370.9579,70796910.0000,91395987.1000
2161926,"399300.SZ","2018-08-06",3312.8153,3344.2460,3257.6856,3273.2728,3315.2839,77975083.0000,97517991.0000
2161925,"399300.SZ","2018-08-07",3284.9785,3368.9620,3263.4986,3368.8695,3273.2728,91783916.0000,107512223.9000
2161924,"399300.SZ","2018-08-08",3362.1485,3368.1602,3311.7694,3314.5075,3368.8695,79284865.0000,90958912.0000
2161923,"399300.SZ","2018-08-09",3303.4765,3408.3911,3299.6157,3397.5298,3314.5075,91957572.0000,108802315.1000
2161922,"399300.SZ","2018-08-10",3398.4139,3424.0411,3380.5731,3405.0191,3397.5298,68967299.0000,85634522.1000
2161921,"399300.SZ","2018-08-13",3369.9812,3396.1883,3336.6956,3390.3441,3405.0191,76191532.0000,90869290.8000
2161920,"399300.SZ","2018-08-14",3386.4832,3391.7290,3356.6142,3372.9137,3390.3441,60651446.0000,72121992.6000
2161919,"399300.SZ","2018-08-15",3371.9590,3372.1369,3288.7088,3291.9760,3372.9137,68174055.0000,83402193.9000
2161918,"399300.SZ","2018-08-16",3251.8556,3315.2031,3231.5561,3276.7276,3291.9760,76547366.0000,89269175.6000
2161917,"399300.SZ","2018-08-17",3305.8954,3311.5729,3224.0999,3229.6198,3276.7276,67395413.0000,84452452.5000
2161916,"399300.SZ","2018-08-20",3238.2150,3267.2498,3209.0115,3267.2498,3229.6198,70904228.0000,88963382.6000
2161915,"399300.SZ","2018-08-21",3271.8402,3331.7077,3270.0302,3326.6489,3267.2498,75205583.0000,97925840.4000
2161914,"399300.SZ","2018-08-22",3328.9693,3328.9693,3299.3938,3307.9545,3326.6489,50787057.0000,66548536.1000
2161913,"399300.SZ","2018-08-23",3308.4589,3336.1123,3285.8141,3320.0257,3307.9545,61112334.0000,80212785.5000
2161912,"399300.SZ","2018-08-24",3308.4778,3353.0445,3291.8654,3325.3347,3320.0257,63765897.0000,77197847.8000
2161911,"399300.SZ","2018-08-27",3339.3894,3406.5735,3339.2646,3406.5735,3325.3347,94270082.0000,114960964.5000
2161910,"399300.SZ","2018-08-28",3408.1502,3416.5929,3388.8143,3400.1705,3406.5735,75445363.0000,94945949.8000
2161909,"399300.SZ","2018-08-29",3393.0527,3398.7139,3377.1231,3386.5736,3400.1705,67020404.0000,79072300.2000
2161908,"399300.SZ","2018-08-30",3385.8052,3402.5626,3349.4688,3351.0942,3386.5736,68385290.0000,80226052.6000
2161907,"399300.SZ","2018-08-31",3333.3801,3356.5757,3310.8726,3334.5036,3351.0942,76205630.0000,96091892.8000
2161906,"399300.SZ","2018-09-03",3320.6898,3325.6070,3291.7842,3321.8248,3334.5036,66429855.0000,81305681.4000
2161905,"399300.SZ","2018-09-04",3324.1860,3370.9630,3307.9585,3363.8984,3321.8248,67088807.0000,85892034.8000
2161904,"399300.SZ","2018-09-05",3349.6983,3354.1991,3298.1412,3298.1412,3363.8984,64301888.0000,80656675.2000
2161903,"399300.SZ","2018-09-06",3286.6645,3311.4973,3253.7552,3262.8808,3298.1412,62300288.0000,79373138.2000
2161902,"399300.SZ","2018-09-07",3273.8906,3316.6149,3253.7250,3277.6438,3262.8808,63947408.0000,81263439.9000
2161901,"399300.SZ","2018-09-10",3271.3818,3277.8840,3227.8481,3230.0681,3277.6438,63817051.0000,76175580.3000
2161900,"399300.SZ","2018-09-11",3229.7052,3245.6170,3209.1121,3224.2116,3230.0681,58491305.0000,67722118.9000
2161899,"399300.SZ","2018-09-12",3216.9911,3225.6014,3194.9785,3202.0248,3224.2116,54627899.0000,68887020.0000
2161898,"399300.SZ","2018-09-13",3239.6852,3249.5930,3191.3975,3236.5662,3202.0248,67290327.0000,85887962.1000
2161897,"399300.SZ","2018-09-14",3242.8307,3254.1043,3227.9439,3242.0902,3236.5662,60130640.0000,76481211.9000
2161896,"399300.SZ","2018-09-17",3224.9267,3230.7878,3200.5096,3204.9224,3242.0902,52259547.0000,60650940.9000
2161895,"399300.SZ","2018-09-18",3193.6423,3270.1070,3193.6423,3269.4319,3204.9224,70425035.0000,83899137.5000
2161894,"399300.SZ","2018-09-19",3261.9970,3335.9913,3258.3097,3312.4823,3269.4319,89170666.0000,109395423.8000
2161893,"399300.SZ","2018-09-20",3314.8758,3332.3093,3303.0730,3310.1258,3312.4823,64561057.0000,76660845.1000
2161892,"399300.SZ","2018-09-21",3320.6958,3410.4856,3307.7670,3410.4856,3310.1258,108416005.0000,123573117.8000
2161891,"399300.SZ","2018-09-25",3375.9717,3394.3771,3367.0253,3379.8043,3410.4856,69054693.0000,82870029.9000
2161890,"399300.SZ","2018-09-26",3388.5576,3448.2595,3383.2352,3417.2413,3379.8043,93173343.0000,119113319.0000
2161889,"399300.SZ","2018-09-27",3415.9532,3423.7100,3394.7320,3403.5902,3417.2413,69765241.0000,87573300.8000
2161888,"399300.SZ","2018-09-28",3409.9598,3444.9884,3404.6973,3438.8649,3403.5902,84377756.0000,94880274.5000
2161887,"399300.SZ","2018-10-08",3361.5594,3364.4641,3285.2530,3290.8988,3438.8649,97888989.0000,114164218.3000
2161886,"399300.SZ","2018-10-09",3290.1705,3309.7978,3276.1322,3288.6906,3290.8988,66723274.0000,78372941.3000
2161885,"399300.SZ","2018-10-10",3295.4288,3315.7310,3256.5815,3281.5978,3288.6906,64492828.0000,79166808.5000
2161884,"399300.SZ","2018-10-11",3179.5408,3209.5202,3099.0402,3124.1139,3281.5978,120941342.0000,125723084.4000
2161883,"399300.SZ","2018-10-12",3123.3715,3184.1220,3094.9657,3170.7262,3124.1139,98611151.0000,104423076.6000
2161882,"399300.SZ","2018-10-15",3173.8467,3183.1297,3120.2306,3126.4516,3170.7262,69605023.0000,77137696.8000
2161881,"399300.SZ","2018-10-16",3128.5764,3166.0918,3089.3668,3100.9738,3126.4516,68887721.0000,75206470.9000
2161880,"399300.SZ","2018-10-17",3140.6838,3149.1344,3062.5540,3118.2463,3100.9738,76837138.0000,86132695.9000
2161879,"399300.SZ","2018-10-18",3097.7903,3097.7903,3043.3817,3044.3918,3118.2463,73771968.0000,79703731.9000
2161878,"399300.SZ","2018-10-19",3017.7488,3137.7475,3009.4983,3134.9455,3044.3918,98839688.0000,110951369.1000
